"Id";"Designator";"Footprint";"Quantity";"Designation";"Supplier and ref";
1;"C4,C5,C10,C9,C3,C12,C6,C8,C13,C11,C2,C7";"C_0201_0603Metric";12;".1uf";;;
2;"C1";"C_0603_1608Metric";1;".1uf";;;
3;"U1";"Texas_RGY_R-PVQFN-N16_EP2.05x2.55mm";1;"TS3A5017RGY";;;
4;"J3";"SMA_Amphenol_901-143_Horizontal";1;"CLK1";;;
5;"J4";"PinHeader_1x02_P2.54mm_Vertical";1;"Conn_01x02_Pin";;;
6;"C14,C15";"C_0201_0603Metric";2;"1uf";;;
7;"J1";"SMA_Amphenol_901-143_Horizontal";1;"RF-In";;;
8;"J2";"SMA_Amphenol_901-143_Horizontal";1;"CLK0";;;
9;"R1,R2";"R_0201_0603Metric";2;"10k";;;
10;"U2,U3";"SOT-23-5";2;"LMP7715MF";;;
11;"J5";"HRO_PJ-320D-A";1;"PJ-320D-A";;;
