Ref,Val,Package,PosX,PosY,Rot,Side
"C1",".1uf","C_0603_1608Metric",146.799000,-91.440000,0.000000,top
"C2",".1uf","C_0201_0603Metric",152.400000,-89.154000,0.000000,top
"C3",".1uf","C_0201_0603Metric",153.416000,-88.138000,0.000000,top
"C4",".1uf","C_0201_0603Metric",142.425808,-85.854731,180.000000,top
"C5",".1uf","C_0201_0603Metric",143.440553,-84.705502,180.000000,top
"C6",".1uf","C_0201_0603Metric",140.117000,-98.486000,90.000000,top
"C7",".1uf","C_0201_0603Metric",142.657000,-99.568000,180.000000,top
"C8",".1uf","C_0201_0603Metric",141.199000,-94.996000,0.000000,top
"C9",".1uf","C_0201_0603Metric",144.181000,-94.996000,180.000000,top
"C10",".1uf","C_0201_0603Metric",147.991000,-98.552000,90.000000,top
"C11",".1uf","C_0201_0603Metric",152.055000,-94.996000,180.000000,top
"C12",".1uf","C_0201_0603Metric",149.007000,-94.996000,0.000000,top
"C13",".1uf","C_0201_0603Metric",150.277000,-100.584000,180.000000,top
"C14","1uf","C_0201_0603Metric",157.389000,-98.298000,180.000000,top
"C15","1uf","C_0201_0603Metric",153.162000,-103.632000,0.000000,top
"J5","PJ-320D-A","HRO_PJ-320D-A",159.310000,-108.816000,90.000000,top
"R1","10k","R_0201_0603Metric",142.657000,-100.584000,0.000000,top
"R2","10k","R_0201_0603Metric",150.277000,-99.568000,0.000000,top
"U1","TS3A5017RGY","Texas_RGY_R-PVQFN-N16_EP2.05x2.55mm",146.787000,-87.871000,180.000000,top
"U2","LMP7715MF","SOT-23-5",142.657000,-97.282000,180.000000,top
"U3","LMP7715MF","SOT-23-5",150.506500,-97.216000,180.000000,top
